id_evaluacion,id_registro,id_usuario,nombre,edad,genero,id_contexto,origen,actividad,ubicacion,descripcion,fecha_hora,valencia,activacion,comentario,intensidad,intensidad_normalizada,cuadrante,etiqueta_emocional
20,4217,20,Agustín Álvarez,18,M,8,Plataforma virtual,Entrega final de módulo,Aula virtual,Entrega de producto final correspondiente a una unidad del curso.,2026-04-22 16:17:00,-0.38,0.66,Tuvo dificultades para avanzar,0.7615773105863909,0.5385164807134504,Negativa-Alta,Frustrado
21,1242,22,Emiliano Ferreira,24,M,10,Actividad presencial,Trabajo en equipo,Aula taller,Construcción colaborativa de una solución de programación.,2026-05-20 16:29:00,0.12,-0.03,Registró una respuesta breve,0.12369316876852982,0.0874642784226795,Centro,Neutro
22,5821,23,Florencia Molina,33,F,11,Actividad presencial,Revisión cruzada entre pares,Aula taller,Lectura y comentario del código producido por otros estudiantes.,2026-05-19 16:22:00,-0.44,0.37,Tuvo dificultades para avanzar,0.5748912940721924,0.40650953248355687,Negativa-Alta,Frustrado
23,2057,24,Ignacio Ríos,32,M,12,Actividad presencial,Debate de soluciones,Aula taller,Comparación grupal de distintas estrategias para resolver un problema.,2026-04-01 11:40:00,-0.24,0.03,Analizó ejemplos antes de resolver,0.24186773244895649,0.17102631376487068,Centro,Neutro
24,4100,25,Julieta Cabrera,34,F,1,Aplicación educativa,Práctica guiada de variables,Laboratorio de informática,"Actividad introductoria para declarar variables, tipos de datos y operaciones simples.",2026-05-29 16:59:00,-0.64,0.44,Tuvo dificultades para avanzar,0.776659513557904,0.5491812087098392,Negativa-Alta,Frustrado
25,3399,1,Ana Pérez,35,F,2,Aplicación educativa,Ejercicio de condicionales,Laboratorio de informática,"Resolución de problemas con estructuras if, elif y else.",2026-05-29 08:06:00,-0.29,0.51,Completó una etapa intermedia,0.5866856057549051,0.4148493702538308,Negativa-Alta,Alerta
26,5594,2,Bruno Gómez,39,M,3,Aplicación educativa,Ejercicio de bucles,Laboratorio de informática,Práctica con ciclos for y while para recorrer datos.,2026-04-05 09:55:00,0.98,-0.93,Encontró una solución funcional,1.3510366390294528,0.9553271690892078,Positiva-Baja,Calmo
27,2067,3,Carla Rodríguez,40,F,4,Aplicación educativa,Práctica de funciones,Laboratorio de informática,"Diseño de funciones con parámetros, retorno y responsabilidad única.",2026-04-03 11:00:00,0.25,-0.22,Revisó materiales del curso,0.3330165161069342,0.2354782367863323,Centro,Neutro
28,2664,4,Diego Fernández,26,M,5,Plataforma virtual,Entrega de tarea individual,Aula virtual,Carga de una solución individual en la plataforma institucional.,2026-05-23 08:04:00,0.37,0.45,Comprendió el problema planteado,0.5825804665451804,0.4119465984809196,Positiva-Alta,Entusiasta
29,1677,5,Elena Silva,32,F,6,Plataforma virtual,Reentrega corregida,Aula virtual,Nueva entrega luego de revisar observaciones o errores previos.,2026-05-26 13:43:00,0.48,0.24,Recibió una devolución positiva,0.5366563145999496,0.3794733192202055,Positiva-Alta,Calmo
30,854,6,Federico Martínez,34,M,7,Plataforma virtual,Carga de proyecto parcial,Aula virtual,Subida de avances del proyecto integrador para revisión.,2026-05-20 16:24:00,0.43,-0.25,Terminó la actividad con seguridad,0.4973932046178355,0.3517101079013794,Positiva-Baja,Calmo
31,5630,7,Gabriela López,35,F,8,Plataforma virtual,Entrega final de módulo,Aula virtual,Entrega de producto final correspondiente a una unidad del curso.,2026-04-11 09:37:00,-0.91,0.85,Mostró frustración ante errores repetidos,1.2452309022827854,0.8805112151472007,Negativa-Alta,Frustrado
32,3242,8,Hernán Cardozo,42,M,9,Actividad presencial,Trabajo en pares,Aula taller,Resolución de una consigna breve junto a otro estudiante.,2026-04-14 14:03:00,0.26,-0.13,Continuó trabajando con apoyo parcial,0.2906888370749727,0.20554804791094466,Centro,Neutro
33,1929,9,Inés Acosta,36,F,10,Actividad presencial,Trabajo en equipo,Aula taller,Construcción colaborativa de una solución de programación.,2026-04-11 08:18:00,-0.5,0.67,Se bloqueó durante la ejecución del código,0.8360023923410747,0.5911429607125505,Negativa-Alta,Frustrado
34,1031,10,Joaquín Suárez,25,M,11,Actividad presencial,Revisión cruzada entre pares,Aula taller,Lectura y comentario del código producido por otros estudiantes.,2026-05-22 15:15:00,0.31,0.15,Avanzó sin mayores dificultades,0.3443835071544513,0.24351591323771843,Positiva-Alta,Calmo
35,5764,11,Lucía Méndez,22,F,12,Actividad presencial,Debate de soluciones,Aula taller,Comparación grupal de distintas estrategias para resolver un problema.,2026-05-23 13:15:00,-0.5,-0.49,Se bloqueó durante la ejecución del código,0.7000714249274855,0.495025251881154,Negativa-Baja,Triste
36,329,12,Martín Castro,39,M,1,Aplicación educativa,Práctica guiada de variables,Laboratorio de informática,"Actividad introductoria para declarar variables, tipos de datos y operaciones simples.",2026-04-27 13:25:00,-0.07,0.06,Analizó ejemplos antes de resolver,0.09219544457292887,0.06519202405202648,Centro,Neutro
37,5724,13,Natalia Ramos,36,F,2,Aplicación educativa,Ejercicio de condicionales,Laboratorio de informática,"Resolución de problemas con estructuras if, elif y else.",2026-04-30 12:05:00,-0.99,0.99,Mostró frustración ante errores repetidos,1.4000714267493641,0.99,Negativa-Alta,Frustrado
38,4005,14,Octavio Varela,37,M,3,Aplicación educativa,Ejercicio de bucles,Laboratorio de informática,Práctica con ciclos for y while para recorrer datos.,2026-04-18 16:31:00,0.34,0.23,Recibió una devolución positiva,0.41048751503547587,0.29025850547399984,Positiva-Alta,Calmo
39,2544,15,Paula Costa,22,F,4,Aplicación educativa,Práctica de funciones,Laboratorio de informática,"Diseño de funciones con parámetros, retorno y responsabilidad única.",2026-05-20 14:21:00,-0.27,0.71,Completó una etapa intermedia,0.7596051605933177,0.5371219600798314,Negativa-Alta,Tenso
40,510,16,Rafael Sosa,18,M,5,Plataforma virtual,Entrega de tarea individual,Aula virtual,Carga de una solución individual en la plataforma institucional.,2026-04-18 12:46:00,-0.44,0.66,Mostró frustración ante errores repetidos,0.7932212806020776,0.5608921464952062,Negativa-Alta,Frustrado
41,2731,17,Sofía Díaz,19,F,6,Plataforma virtual,Reentrega corregida,Aula virtual,Nueva entrega luego de revisar observaciones o errores previos.,2026-04-09 12:07:00,0.23,0.89,Registró una respuesta breve,0.9192388155425117,0.6499999999999999,Positiva-Alta,Tenso
42,4897,18,Tomás Moreira,19,M,7,Plataforma virtual,Carga de proyecto parcial,Aula virtual,Subida de avances del proyecto integrador para revisión.,2026-04-10 08:44:00,-0.39,0.71,Se sintió presionado por el tiempo,0.8100617260431454,0.5728001396647874,Negativa-Alta,Frustrado
43,4160,19,Valentina Benítez,32,F,8,Plataforma virtual,Entrega final de módulo,Aula virtual,Entrega de producto final correspondiente a una unidad del curso.,2026-05-18 16:11:00,-0.1,0.36,Completó una etapa intermedia,0.3736308338453881,0.2641968962724581,Negativa-Alta,Alerta
44,1601,20,Agustín Álvarez,18,M,9,Actividad presencial,Trabajo en pares,Aula taller,Resolución de una consigna breve junto a otro estudiante.,2026-05-02 12:46:00,-0.13,0.57,Registró una respuesta breve,0.5846366392897386,0.4134005321718877,Negativa-Alta,Alerta
45,2450,21,Camila Torres,41,F,10,Actividad presencial,Trabajo en equipo,Aula taller,Construcción colaborativa de una solución de programación.,2026-05-23 14:09:00,-0.2,0.09,Revisó materiales del curso,0.2193171219946131,0.1550806241927082,Centro,Neutro
46,2925,22,Emiliano Ferreira,24,M,11,Actividad presencial,Revisión cruzada entre pares,Aula taller,Lectura y comentario del código producido por otros estudiantes.,2026-05-09 17:56:00,-0.17,-0.38,Completó una etapa intermedia,0.41629316592997295,0.2943637205907005,Negativa-Baja,Cansado
47,3282,23,Florencia Molina,33,F,12,Actividad presencial,Debate de soluciones,Aula taller,Comparación grupal de distintas estrategias para resolver un problema.,2026-04-13 09:09:00,-0.12,0.38,Completó una etapa intermedia,0.3984971769034255,0.2817800560721074,Negativa-Alta,Alerta
48,4536,24,Ignacio Ríos,32,M,1,Aplicación educativa,Práctica guiada de variables,Laboratorio de informática,"Actividad introductoria para declarar variables, tipos de datos y operaciones simples.",2026-04-14 12:56:00,0.57,-0.19,Terminó la actividad con seguridad,0.6008327554319921,0.42485291572496003,Positiva-Baja,Calmo
49,1764,25,Julieta Cabrera,34,F,2,Aplicación educativa,Ejercicio de condicionales,Laboratorio de informática,"Resolución de problemas con estructuras if, elif y else.",2026-05-20 08:28:00,-0.19,0.29,Realizó la actividad sin comentarios especiales,0.3466987164671943,0.24515301344262522,Centro,Neutro
50,5016,1,Ana Pérez,35,F,3,Aplicación educativa,Ejercicio de bucles,Laboratorio de informática,Práctica con ciclos for y while para recorrer datos.,2026-04-19 08:46:00,-0.58,0.66,Tuvo dificultades para avanzar,0.8786353054595518,0.6212889826803626,Negativa-Alta,Frustrado
51,1341,2,Bruno Gómez,39,M,4,Aplicación educativa,Práctica de funciones,Laboratorio de informática,"Diseño de funciones con parámetros, retorno y responsabilidad única.",2026-05-18 10:01:00,0.35,-0.06,Recibió una devolución positiva,0.35510561809129404,0.25109759058979436,Positiva-Baja,Calmo
52,2589,3,Carla Rodríguez,40,F,5,Plataforma virtual,Entrega de tarea individual,Aula virtual,Carga de una solución individual en la plataforma institucional.,2026-04-12 16:33:00,-0.26,0.35,Completó una etapa intermedia,0.4360045871318328,0.3083018001893599,Negativa-Alta,Alerta
53,3523,4,Diego Fernández,26,M,6,Plataforma virtual,Reentrega corregida,Aula virtual,Nueva entrega luego de revisar observaciones o errores previos.,2026-04-10 13:43:00,0.15,0.36,Revisó materiales del curso,0.38999999999999996,0.2757716446627535,Positiva-Alta,Alerta
54,5092,5,Elena Silva,32,F,7,Plataforma virtual,Carga de proyecto parcial,Aula virtual,Subida de avances del proyecto integrador para revisión.,2026-04-16 17:44:00,-0.05,0.24,Registró una respuesta breve,0.24515301344262524,0.17334935823359715,Centro,Neutro
55,2755,6,Federico Martínez,34,M,8,Plataforma virtual,Entrega final de módulo,Aula virtual,Entrega de producto final correspondiente a una unidad del curso.,2026-04-19 08:00:00,0.21,-0.18,Registró una respuesta breve,0.2765863337187866,0.19557607215607944,Centro,Neutro
56,2729,7,Gabriela López,35,F,9,Actividad presencial,Trabajo en pares,Aula taller,Resolución de una consigna breve junto a otro estudiante.,2026-05-20 15:44:00,0.38,0.12,Comprendió el problema planteado,0.3984971769034255,0.2817800560721074,Positiva-Alta,Calmo
57,5627,8,Hernán Cardozo,42,M,10,Actividad presencial,Trabajo en equipo,Aula taller,Construcción colaborativa de una solución de programación.,2026-04-03 13:34:00,-0.92,0.82,No logró completar la actividad a tiempo,1.2323960402403116,0.8714355971613735,Negativa-Alta,Frustrado
58,1126,9,Inés Acosta,36,F,11,Actividad presencial,Revisión cruzada entre pares,Aula taller,Lectura y comentario del código producido por otros estudiantes.,2026-04-21 10:57:00,0.55,0.27,Comprendió el problema planteado,0.6126989472816157,0.4332435804486894,Positiva-Alta,Calmo
59,453,10,Joaquín Suárez,25,M,12,Actividad presencial,Debate de soluciones,Aula taller,Comparación grupal de distintas estrategias para resolver un problema.,2026-04-05 11:51:00,0.46,0.55,Comprendió el problema planteado,0.717007670809734,0.5070009861923347,Positiva-Alta,Entusiasta
60,4836,11,Lucía Méndez,22,F,1,Aplicación educativa,Práctica guiada de variables,Laboratorio de informática,"Actividad introductoria para declarar variables, tipos de datos y operaciones simples.",2026-04-21 15:59:00,0.34,0.91,Encontró una solución funcional,0.9714422267947797,0.6869133860975487,Positiva-Alta,Entusiasta
61,3166,12,Martín Castro,39,M,2,Aplicación educativa,Ejercicio de condicionales,Laboratorio de informática,"Resolución de problemas con estructuras if, elif y else.",2026-05-09 13:01:00,-0.47,0.38,Mostró frustración ante errores repetidos,0.604400529450463,0.427375712927162,Negativa-Alta,Frustrado
62,732,13,Natalia Ramos,36,F,3,Aplicación educativa,Ejercicio de bucles,Laboratorio de informática,Práctica con ciclos for y while para recorrer datos.,2026-04-12 17:01:00,0.37,0.16,Recibió una devolución positiva,0.4031128874149275,0.2850438562747845,Positiva-Alta,Calmo
63,1028,14,Octavio Varela,37,M,4,Aplicación educativa,Práctica de funciones,Laboratorio de informática,"Diseño de funciones con parámetros, retorno y responsabilidad única.",2026-05-15 16:09:00,0.22,0.26,Realizó la actividad sin comentarios especiales,0.34058772731852804,0.24083189157584592,Centro,Neutro
64,4195,15,Paula Costa,22,F,5,Plataforma virtual,Entrega de tarea individual,Aula virtual,Carga de una solución individual en la plataforma institucional.,2026-05-17 16:34:00,0.67,0.3,Se mostró motivado durante la tarea,0.7340980860893183,0.5190857347298229,Positiva-Alta,Entusiasta
65,2317,16,Rafael Sosa,18,M,6,Plataforma virtual,Reentrega corregida,Aula virtual,Nueva entrega luego de revisar observaciones o errores previos.,2026-05-20 08:19:00,0.39,0.39,Encontró una solución funcional,0.5515432893255071,0.39,Positiva-Alta,Entusiasta
66,3283,17,Sofía Díaz,19,F,7,Plataforma virtual,Carga de proyecto parcial,Aula virtual,Subida de avances del proyecto integrador para revisión.,2026-05-23 16:42:00,0.24,0.14,Registró una respuesta breve,0.2778488797889961,0.196468827043885,Centro,Neutro
67,4737,18,Tomás Moreira,19,M,8,Plataforma virtual,Entrega final de módulo,Aula virtual,Entrega de producto final correspondiente a una unidad del curso.,2026-04-11 17:05:00,-0.44,0.62,Mostró frustración ante errores repetidos,0.7602631123499285,0.5375872022286244,Negativa-Alta,Frustrado
68,2644,19,Valentina Benítez,32,F,9,Actividad presencial,Trabajo en pares,Aula taller,Resolución de una consigna breve junto a otro estudiante.,2026-04-30 10:12:00,0.12,-0.6,Realizó la actividad sin comentarios especiales,0.6118823416311342,0.4326661530556787,Positiva-Baja,Cansado
69,32,20,Agustín Álvarez,18,M,10,Actividad presencial,Trabajo en equipo,Aula taller,Construcción colaborativa de una solución de programación.,2026-05-17 14:26:00,0.02,0.44,Registró una respuesta breve,0.4404543109109048,0.3114482300479487,Positiva-Alta,Alerta
70,1321,21,Camila Torres,41,F,11,Actividad presencial,Revisión cruzada entre pares,Aula taller,Lectura y comentario del código producido por otros estudiantes.,2026-04-13 13:41:00,0.41,-0.29,Comprendió el problema planteado,0.5021951811795887,0.355105618091294,Positiva-Baja,Calmo
71,5029,22,Emiliano Ferreira,24,M,12,Actividad presencial,Debate de soluciones,Aula taller,Comparación grupal de distintas estrategias para resolver un problema.,2026-04-04 11:35:00,-0.17,0.57,Analizó ejemplos antes de resolver,0.594810894318522,0.4205948168962617,Negativa-Alta,Alerta
72,1676,23,Florencia Molina,33,F,1,Aplicación educativa,Práctica guiada de variables,Laboratorio de informática,"Actividad introductoria para declarar variables, tipos de datos y operaciones simples.",2026-04-02 12:30:00,-0.12,0.53,Continuó trabajando con apoyo parcial,0.5434151267677411,0.384252521136817,Negativa-Alta,Alerta
73,4927,24,Ignacio Ríos,32,M,2,Aplicación educativa,Ejercicio de condicionales,Laboratorio de informática,"Resolución de problemas con estructuras if, elif y else.",2026-04-14 13:33:00,0.36,-0.11,Se mostró motivado durante la tarea,0.3764306044943742,0.26617663308412326,Positiva-Baja,Calmo
74,1051,25,Julieta Cabrera,34,F,3,Aplicación educativa,Ejercicio de bucles,Laboratorio de informática,Práctica con ciclos for y while para recorrer datos.,2026-04-07 13:21:00,0.26,-0.15,Registró una respuesta breve,0.3001666203960727,0.21224985276791125,Centro,Neutro
75,1372,1,Ana Pérez,35,F,4,Aplicación educativa,Práctica de funciones,Laboratorio de informática,"Diseño de funciones con parámetros, retorno y responsabilidad única.",2026-04-13 09:13:00,0.38,0.74,Terminó la actividad con seguridad,0.8318653737234168,0.5882176467941097,Positiva-Alta,Entusiasta
76,4802,2,Bruno Gómez,39,M,5,Plataforma virtual,Entrega de tarea individual,Aula virtual,Carga de una solución individual en la plataforma institucional.,2026-04-11 10:39:00,0.43,-0.26,Avanzó sin mayores dificultades,0.5024937810560445,0.3553167600887973,Positiva-Baja,Calmo
77,3610,3,Carla Rodríguez,40,F,6,Plataforma virtual,Reentrega corregida,Aula virtual,Nueva entrega luego de revisar observaciones o errores previos.,2026-05-12 13:50:00,-0.43,0.61,Se sintió presionado por el tiempo,0.7463243262818116,0.5277309920783504,Negativa-Alta,Frustrado
78,5309,4,Diego Fernández,26,M,7,Plataforma virtual,Carga de proyecto parcial,Aula virtual,Subida de avances del proyecto integrador para revisión.,2026-05-04 16:44:00,-0.07,0.47,Revisó materiales del curso,0.4751841748206688,0.3360059523282288,Negativa-Alta,Alerta
79,373,5,Elena Silva,32,F,8,Plataforma virtual,Entrega final de módulo,Aula virtual,Entrega de producto final correspondiente a una unidad del curso.,2026-04-28 13:07:00,0.16,0.54,Revisó materiales del curso,0.563205113613149,0.39824615503479754,Positiva-Alta,Alerta
80,387,6,Federico Martínez,34,M,9,Actividad presencial,Trabajo en pares,Aula taller,Resolución de una consigna breve junto a otro estudiante.,2026-05-27 09:57:00,-0.29,0.28,Completó una etapa intermedia,0.4031128874149275,0.2850438562747845,Centro,Neutro
81,168,7,Gabriela López,35,F,10,Actividad presencial,Trabajo en equipo,Aula taller,Construcción colaborativa de una solución de programación.,2026-04-12 10:51:00,0.27,-0.1,Completó una etapa intermedia,0.2879236009777594,0.20359273071502332,Centro,Neutro
82,724,8,Hernán Cardozo,42,M,11,Actividad presencial,Revisión cruzada entre pares,Aula taller,Lectura y comentario del código producido por otros estudiantes.,2026-04-04 10:08:00,-0.51,0.54,Tuvo dudas persistentes sobre la consigna,0.7427651041883969,0.5252142420003479,Negativa-Alta,Frustrado
83,348,9,Inés Acosta,36,F,12,Actividad presencial,Debate de soluciones,Aula taller,Comparación grupal de distintas estrategias para resolver un problema.,2026-05-06 08:56:00,-0.64,0.52,No logró completar la actividad a tiempo,0.8246211251235321,0.58309518948453,Negativa-Alta,Frustrado
84,4075,10,Joaquín Suárez,25,M,1,Aplicación educativa,Práctica guiada de variables,Laboratorio de informática,"Actividad introductoria para declarar variables, tipos de datos y operaciones simples.",2026-05-29 13:38:00,-0.62,0.59,No logró completar la actividad a tiempo,0.8558621384311844,0.6051859218455101,Negativa-Alta,Frustrado
85,2190,11,Lucía Méndez,22,F,2,Aplicación educativa,Ejercicio de condicionales,Laboratorio de informática,"Resolución de problemas con estructuras if, elif y else.",2026-04-12 10:48:00,-0.0,0.56,Sin comentario,0.56,0.3959797974644666,Positiva-Alta,Alerta
86,2012,12,Martín Castro,39,M,3,Aplicación educativa,Ejercicio de bucles,Laboratorio de informática,Práctica con ciclos for y while para recorrer datos.,2026-04-17 13:37:00,0.32,-0.27,Recibió una devolución positiva,0.41868842830916647,0.29605742686174924,Positiva-Baja,Calmo
87,1806,13,Natalia Ramos,36,F,4,Aplicación educativa,Práctica de funciones,Laboratorio de informática,"Diseño de funciones con parámetros, retorno y responsabilidad única.",2026-04-08 12:16:00,0.24,0.06,Revisó materiales del curso,0.24738633753705963,0.174928556845359,Centro,Neutro
88,2700,14,Octavio Varela,37,M,5,Plataforma virtual,Entrega de tarea individual,Aula virtual,Carga de una solución individual en la plataforma institucional.,2026-05-12 12:28:00,-0.4,0.65,Se sintió presionado por el tiempo,0.7632168761236874,0.5396758286230725,Negativa-Alta,Frustrado
89,2859,15,Paula Costa,22,F,6,Plataforma virtual,Reentrega corregida,Aula virtual,Nueva entrega luego de revisar observaciones o errores previos.,2026-04-11 14:13:00,0.26,-0.08,Realizó la actividad sin comentarios especiales,0.2720294101747089,0.19235384061671346,Centro,Neutro
90,5683,16,Rafael Sosa,18,M,7,Plataforma virtual,Carga de proyecto parcial,Aula virtual,Subida de avances del proyecto integrador para revisión.,2026-05-27 16:38:00,0.93,-0.89,Avanzó sin mayores dificultades,1.287245120402482,0.9102197536858888,Positiva-Baja,Calmo
91,2426,17,Sofía Díaz,19,F,8,Plataforma virtual,Entrega final de módulo,Aula virtual,Entrega de producto final correspondiente a una unidad del curso.,2026-05-13 08:15:00,0.65,0.22,Encontró una solución funcional,0.6862215385719105,0.48523190332046384,Positiva-Alta,Calmo
92,3942,18,Tomás Moreira,19,M,9,Actividad presencial,Trabajo en pares,Aula taller,Resolución de una consigna breve junto a otro estudiante.,2026-05-22 09:54:00,-0.75,0.91,Se sintió presionado por el tiempo,1.1792370414806346,0.8338465086573187,Negativa-Alta,Frustrado
93,5706,19,Valentina Benítez,32,F,10,Actividad presencial,Trabajo en equipo,Aula taller,Construcción colaborativa de una solución de programación.,2026-04-03 16:44:00,-0.91,0.93,Tuvo dificultades para avanzar,1.3011533345459327,0.9200543462209174,Negativa-Alta,Frustrado
94,1370,20,Agustín Álvarez,18,M,11,Actividad presencial,Revisión cruzada entre pares,Aula taller,Lectura y comentario del código producido por otros estudiantes.,2026-05-09 08:00:00,-0.21,0.8,Analizó ejemplos antes de resolver,0.8271033792700887,0.5848504082241885,Negativa-Alta,Tenso
95,5206,21,Camila Torres,41,F,12,Actividad presencial,Debate de soluciones,Aula taller,Comparación grupal de distintas estrategias para resolver un problema.,2026-05-30 08:45:00,0.44,-0.09,Terminó la actividad con seguridad,0.4491102314577124,0.31756889016400836,Positiva-Baja,Calmo
96,3723,22,Emiliano Ferreira,24,M,1,Aplicación educativa,Práctica guiada de variables,Laboratorio de informática,"Actividad introductoria para declarar variables, tipos de datos y operaciones simples.",2026-05-01 12:02:00,-0.42,0.58,Se sintió presionado por el tiempo,0.7161005515987262,0.5063595560468864,Negativa-Alta,Frustrado
97,2676,23,Florencia Molina,33,F,2,Aplicación educativa,Ejercicio de condicionales,Laboratorio de informática,"Resolución de problemas con estructuras if, elif y else.",2026-05-29 10:23:00,0.4,0.5,Avanzó sin mayores dificultades,0.6403124237432849,0.4527692569068708,Positiva-Alta,Entusiasta
98,417,24,Ignacio Ríos,32,M,3,Aplicación educativa,Ejercicio de bucles,Laboratorio de informática,Práctica con ciclos for y while para recorrer datos.,2026-04-04 16:15:00,0.16,0.18,Analizó ejemplos antes de resolver,0.2408318915758459,0.170293863659264,Centro,Neutro
99,1770,25,Julieta Cabrera,34,F,4,Aplicación educativa,Práctica de funciones,Laboratorio de informática,"Diseño de funciones con parámetros, retorno y responsabilidad única.",2026-05-25 12:09:00,0.08,-0.46,Registró una respuesta breve,0.4669047011971501,0.3301514803843836,Positiva-Baja,Cansado
100,4776,1,Ana Pérez,35,F,5,Plataforma virtual,Entrega de tarea individual,Aula virtual,Carga de una solución individual en la plataforma institucional.,2026-04-19 12:15:00,0.98,0.98,Encontró una solución funcional,1.3859292911256331,0.9799999999999999,Positiva-Alta,Entusiasta
